interval	-time	level
III	-296602143.5	51.2
III	-296600207.3	37.4
III	-296599626.4	55.4
IV	-296592656.1	24.8
IV	-296550059.8	12.4
IV	-296519855.1	-12.1
IV	-296516757.2	-9.8
IV	-296514821	-14.2
IV	-296514240.1	-10.8
IV	-296512303.9	-14.5
IV	-296511916.7	-10.9
IV	-296509980.5	-14.4
IV	-296509399.6	-13.2
IV	-296507463.4	-13
IV	-296505140	-12.5
IV	-296504752.8	-14.2
IV	-296503784.7	-12
IV	-296502816.6	-14.7
IV	-296502235.7	-12.1
IV	-296501267.6	-14.9
IV	-296500880.4	-11.9
IV	-296497008	-9.8
IV	-296493135.6	-12
IV	-296491586.6	-9.8
IV	-296484809.9	-14.9
IV	-296483725.7	-14.6
IV	-296482176.7	-15.6
IV	-296481789.5	-13.5
IV	-296481499	-13.5
IV	-296481208.6	-12.6
IV	-296479853.3	-15.6
IV	-296479272.4	-12.5
IV	-296477723.4	-15.5
IV	-296476949	-12.6
IV	-296475400	-10.1
IV	-296471879.6	-14
IV	-296471686	-13.6
IV	-296470911.5	-13.8
IV	-296470524.3	-7.2
IV	-296463483.6	-14.1
IV	-296463096.3	-12.7
IV	-296460927.8	-7.6
IV	-296453887.1	-11.5
IV	-296452338.1	-12.6
IV	-296450789.2	-16.2
IV	-296449627.5	-8
IV	-296442586.7	-17.2
IV	-296442199.5	-11.7
IV	-296435422.8	-17
IV	-296434454.7	-13.9
IV	-296432518.5	-17.6
IV	-296432131.3	-16.6
IV	-296430582.3	-13.7
IV	-296429343.1	-14.1
IV	-296427406.9	-17.8
IV	-296427019.7	-14.2
IV	-296425083.5	-17.7
IV	-296424502.6	-14.3
IV	-296422566.4	-18
IV	-296422179.2	-14.4
IV	-296420243	-8.4
V	-296408625.8	-15.6
V	-296407115.6	-17.3
V	-296405256.8	-0.7
V	-296387655	-19
V	-296386880.6	-13.8
V	-296383782.7	-15.8
V	-296381459.2	-17.5
V	-296379523	-17.2
V	-296378942.2	-17.5
V	-296378361.3	-18.5
V	-296377393.2	-17.1
V	-296376231.5	-14.7
V	-296374876.1	-17.4
V	-296373946.8	-17.6
V	-296373559.5	-17.7
V	-296372978.7	-15.2
V	-296372010.6	-18.1
V	-296371778.2	-15.9
V	-296371584.6	-14.1
V	-296368064.2	-16
V	-296367870.6	-18.3
V	-296367754.5	-15.9
V	-296367367.2	-17.5
V	-296366205.5	-16.1
V	-296366011.9	-18.4
V	-296365895.7	-16.1
V	-296365702.1	-18.4
V	-296365585.9	-16.1
V	-296365392.3	-18.4
V	-296365276.1	-16.1
V	-296365082.5	-14.1
V	-296360242	-17.7
V	-296359080.3	-16.4
V	-296358886.7	-18.7
V	-296358770.5	-16.4
V	-296358576.9	-18.7
V	-296358460.7	-16.4
V	-296358267.1	-18.5
V	-296357918.6	-15.9
V	-296357144.1	-18.8
V	-296357027.9	-16
V	-296356253.4	-18.8
V	-296356137.3	-16
V	-296355362.8	-18.8
V	-296355246.6	-16
V	-296354472.1	-18.9
V	-296354356	-16.1
V	-296353581.5	-18.9
V	-296353465.3	-16.1
V	-296352690.8	-18.9
V	-296352574.7	-16.5
V	-296352187.4	-17.1
V	-296349864	-19.1
V	-296349747.8	-16.4
V	-296349167	-19.1
V	-296349050.8	-16.4
V	-296348469.9	-19.1
V	-296348353.8	-16.5
V	-296347772.9	-19.1
V	-296347656.7	-16.5
V	-296347075.9	-19.2
V	-296346959.7	-16.5
V	-296346378.8	-19.2
V	-296346262.7	-16.5
V	-296345681.8	-19.2
V	-296345565.6	-15.1
V	-296342045.3	-19.4
V	-296341929.1	-16.7
V	-296341348.2	-19.4
V	-296341232.1	-16.7
V	-296340651.2	-19.4
V	-296340535	-16.9
V	-296340147.8	-19.4
V	-296340031.6	-17
V	-296339644.4	-20.3
V	-296339063.5	-20.3
V	-296338482.7	-15.7
V	-296336546.5	-18.4
V	-296335036.2	-12.5
V	-296327995.5	-19.5
V	-296327414.7	-17.1
V	-296326640.2	-19.7
V	-296326175.5	-17.2
V	-296325401	-19.7
V	-296324936.3	-17.2
V	-296324161.8	-19.8
V	-296323697.2	-17.3
V	-296322922.7	-19.8
V	-296322458	-17.3
V	-296321683.5	-19.9
VI	-296321218.8	-15.2
VI	-296312699.6	-21.5
VI	-296312234.9	-18.3
VI	-296309524.2	-13.5
VI	-296302483.5	-20.9
VI	-296302367.3	-20.3
VI	-296301592.8	-18.5
VI	-296298688.5	-20.8
VI	-296298301.3	-17
VI	-296294780.9	-21.1
VI	-296294548.6	-18.5
VI	-296292689.8	-22.1
VI	-296291140.9	-20.8
VI	-296288043	-18.2
VI	-296284170.6	-21.4
VI	-296283822	-20.4
VI	-296282273.1	-21.6
VI	-296282040.7	-19.8
VI	-296279717.3	-21.5
VI	-296279252.6	-21.6
VI	-296278865.4	-21.8
VI	-296278749.2	-21.8
VI	-296278555.6	-21.7
VI	-296278323.2	-21.1
VI	-296277355.1	-20.5
VI	-296275612.6	-20.4
VI	-296275147.9	-21.7
VI	-296274683.2	-21.6
VI	-296274102.3	-20.3
VI	-296272011.2	-21.1
VI	-296271043.1	-23.2
VI	-296270655.9	-20.8
VI	-296268913.3	-22.2
VI	-296268719.7	-22
VI	-296268371.2	-21.7
VI	-296267596.7	-22.3
VI	-296267480.5	-21.8
VI	-296266783.5	-22.3
VI	-296266667.3	-21.7
VI	-296265892.9	-22.2
VI	-296265660.5	-20.6
VI	-296263530.7	-21.5
VI	-296262369	-17.6
VI	-296256560.4	-21.8
VII	-296255398.7	-21.2
VII	-296253462.5	-19
VII	-296250364.5	-21.1
VII	-296248041.1	-12.9
VII	-296237480	-21.6
VII	-296235156.6	-23.5
VII	-296234924.3	-23.3
VII	-296234537	-23.5
VII	-296234304.7	-23.4
VII	-296233917.4	-23.5
VII	-296233685.1	-23.4
VII	-296233297.8	-23.5
VII	-296233065.5	-23.4
VII	-296232678.3	-23.5
VII	-296232445.9	-23.4
VII	-296232058.7	-23.6
VII	-296231826.3	-23.4
VII	-296231439.1	-23.6
VII	-296231206.8	-23
VIII	-296230277.4	-13.6
VIII	-296219716.3	-22.3
VIII	-296215069.4	-23.7
VIII	-296212746	-17.3
VIII	-296205705.3	-24.7
VIII	-296204078.9	-25.1
VIII	-296202917.1	-22.3
VIII	-296199896.7	-20.8
VIII	-296195017.5	-12
VIII	-296180936	-25.6
VIII	-296180703.7	-18.6
VIII	-296173663	-25.9
VIII	-296173430.6	-25.7
VIII	-296173043.4	-25.5
VIII	-296172346.3	-25.4
VIII	-296170603.8	-25.1
VIII	-296167041.2	-25
VIII	-296163168.8	-25.5
VIII	-296162007	-26.2
VIII	-296161658.5	-26.3
VIII	-296159025.3	-25.6
VIII	-296157863.6	-28
VIII	-296157089.1	-26.4
VIII	-296156740.6	-26.6
VIII	-296156547	-26.5
VIII	-296156314.6	-25.2
VIII	-296154572.1	-25.3
VIII	-296152829.5	-26.6
VIII	-296152481	-25.4
VIII	-296150738.4	-26.2
VIII	-296149809	-24.9
VIII	-296148879.6	-26.6
VIII	-296148414.9	-26.6
VIII	-296147834.1	-26.7
VIII	-296147369.4	-26.6
VIII	-296146788.5	-26.7
VIII	-296146323.8	-26.8
VIII	-296145936.6	-26.6
VIII	-296145355.7	-26.7
VIII	-296144774.9	-26.8
VIII	-296144310.2	-26.9
VIII	-296143923	-26.7
VIII	-296143342.1	-27.1
VIII	-296143109.8	-26.8
VIII	-296142528.9	-27
VIII	-296142180.4	-27
VIII	-296141831.9	-27.8
VIII	-296140089.3	-26.7
VIII	-296139276.1	-26.2
	-
