compaction	tectonic_cyclicity	amp1	amp2	amp3	amp4	amp5	phase1	phase2	phase3	phase4	phase5	ssr	aic_4func	aic_5func	loglik_4func	loglik_5func	pvalue
min	1243.78 ( 1073.88 -- 1407.69 )	2.43 ( 2.57 -- 2.34 )	2.59 ( 2.51 -- 2.61 )	8.35 ( 7.83 -- 9 )	8.06 ( 6.18 -- 9.88 )	16.84 ( 14.01 -- 20.25 )	2.41 ( 2.26 -- 2.57 )	2.08 ( 2.05 -- 2.1 )	0.12 ( 0.11 -- 0.12 )	2.45 ( 2.33 -- 2.49 )	0.55 ( 0.25 -- 0.75 )	68196.92	4154.334	4148.303	-2146.275	-1958.598	4.82225023378595e-81
avg	899.14 ( 602.63 -- 912.72 )	1.46 ( 1.03 -- 1.6 )	0.58 ( 1.44 -- 0.52 )	11.28 ( 10.49 -- 11.67 )	12.49 ( 10.98 -- 12.19 )	18.65 ( 23.36 -- 20.11 )	0 ( 0 -- 0 )	0 ( 0 -- 0 )	0 ( 0 -- 0 )	1.39 ( 6.28 -- 1.5 )	6.28 ( 4.32 -- 6.28 )	147928.95	4230.266	4382.825	-2299.493	-2154.504	1.46802573685478e-62
max	897.9 ( 259.56 -- 913.27 )	2.48 ( 4.09 -- 2.61 )	0.64 ( 2.22 -- 3.22 )	10.81 ( 10.7 -- 11.45 )	4.4 ( 4.07 -- 4.34 )	15.72 ( 6.59 -- 17.54 )	0 ( 0.49 -- 0 )	0 ( 0 -- 4.72 )	1.07 ( 1.13 -- 1.05 )	2.52 ( 2.41 -- 2.69 )	6.28 ( 0 -- 6.28 )	81972.48	4155.654	4195.437	-2168.216	-2005.146	2.18613716289454e-70
