compaction	tectonic_cyclicity	amp1	amp2	amp3	amp4	amp5	phase1	phase2	phase3	phase4	phase5	ssr	aic_4func	aic_5func	loglik_4func	loglik_5func	pvalue
min	1264.19 ( 1098.81 - 1422.69 )	1.37 ( 1.37 - 1.52 )	1.41 ( 1.13 - 1.67 )	8.21 ( 7.69 - 8.84 )	8.89 ( 7.08 - 10.66 )	17.12 ( 14.19 - 20.59 )	2.57 ( 2.23 - 2.94 )	4.65 ( 4.52 - 4.65 )	0.13 ( 0.13 - 0.13 )	2.48 ( 2.39 - 2.51 )	0.59 ( 0.33 - 0.78 )	70212.6	4446.512	4158.292	-2157.048	-1965.968	1.61906798600159e-82
avg	905.14 ( 892.14 - 919.8 )	1.92 ( 1.25 - 2.58 )	3.89 ( 3.5 - 4.3 )	11.8 ( 11.34 - 12.23 )	11.29 ( 11.14 - 11.66 )	18.48 ( 17.06 - 19.97 )	0.44 ( 0.38 - 0.47 )	1.42 ( 1.39 - 1.43 )	5.88 ( 5.87 - 5.9 )	1.53 ( 1.42 - 1.65 )	6.28 ( 6.28 - 6.28 )	138262.54	4638.396	4354.681	-2287.631	-2137.407	7.95947164919802e-65
max	899.48 ( 880.31 - 922.71 )	3.34 ( 3.06 - 3.61 )	4.15 ( 3.37 - 4.93 )	10.05 ( 9.67 - 10.37 )	4.43 ( 4.24 - 5.13 )	15.72 ( 14.13 - 17.47 )	1.61 ( 1.56 - 1.66 )	1.71 ( 1.69 - 1.71 )	1.02 ( 1 - 1.05 )	2.57 ( 2.26 - 2.8 )	6.28 ( 6.28 - 6.28 )	75837.28	4431.624	4158.805	-2158.843	-1985.464	7.51657146818802e-75
